"X","Y_true","Y_pred"
"youri","யூரி","யூரி"
"preim","பிரேம்","பிரிம்"
"elimaiyaaka","எளிமையாக","எலிமையாக"
"kwantam","குவாண்டம்","கோண்டம்"
"yavvithamaana","எவ்விதமான","யவ்விதமான"
"sangavai","சங்கவை","சங்கவை"
"kooldan","கோல்டன்","கோல்டன்"
"kaaliyaa","காலியா","காலியா"
"malargalaik","மலர்களைக்","மலர்களைக்"
"masuuthikku","மசூதிக்கு","மசுதிக்கு"
"oththulaikka","ஒத்துழைக்க","ஒத்துளைக்க"
"nayathodu","நயத்தோடு","நயதோடு"
"thaankakkoodiya","தாங்கக்கூடிய","தாங்கக்கூடிய"
"malarae","மலரே","மலரே"
"kulaththai","குளத்தை","குலத்தை"
"latchiyaththirgum","இலட்சத்திற்கும்","லட்சியத்திற்கும்"
"periyarin","பெரியாரின்","பெரியரின்"
"vaethangkalil","வேதங்களில்","வேதங்களில்"
"ekkoottaththil","இக்கூட்டத்தில்","இக்கோட்டத்தில்"
"siiv","சிவ","சீவ்"
"kuvindhu","குவிந்து","குவிந்து"
"maeman","மேமன்","மேமன்"
"kuttangalukku","கூட்டங்களுக்கு","குட்டங்களுக்கு"
"ahmedabad","அகமதாபாத்","அஹ்மெடப்பட்"
"mikkavaraaga","மிக்கவராக","மிக்கவராக"
"saadhagam","சாதகம்","சாதகம்"
"puudaan","பூடான்","பூடான்"
"kadambur","கடம்பூர்","கடம்பூர்"
"appakuthikalil","அப்பகுதிகளில்","அப்பகுதிகளில்"
"thattaan","தட்டான்","தட்டான்"
"kulanggal","குளங்கள்","குலங்கள்"
"tharavugalaith","தரவுகளைத்","தரவுகளைத்"
"vikkiraman","விக்கிரமன்","விக்கிரமன்"
"varappoakum","வரப்போகும்","வரப்போகும்"
"aatharikkavillai","ஆதரிக்கவில்லை","ஆதரிக்கவில்லை"
"padangalukkum","படங்களுக்கும்","படங்களுக்கும்"
"simon","சைமன்","சிமோன்"
"betles","பீட்டில்ஸ்","பெட்லஸ்"
"theepan","தீபன்","தீபன்"
"paantavarkalai","பாண்டவர்களை","பாண்டவர்களை"
"cheyalmuraikku","செயல்முறைக்கு","செயல்முறைக்கு"
"akamatapat","அகமதாபாத்","அகமடப்பட்ட"
"bakaa","பகா","பகா"
"paandavargalum","பாண்டவர்களும்","பாண்டவர்களும்"
"valukku","வழுக்கு","வழுக்கு"
"seerudaikal","சீருடைகள்","சீருடைகள்"
"aayinar","ஆயினர்","ஆயினர்"
"aappirikkaavilum","ஆப்பிரிக்காவிலும்","ஆப்பிரிக்காவிலும்"
"chankangal","சங்கங்கள்","சங்கங்கள்"
"thoontriyathaal","தோன்றியதால்","தூன்றியதால்"
"serwer","சர்வர்","செர்வர்"
"pozhudupoakku","பொழுதுபோக்கு","பொழுடுபோக்கு"
"ahmedabadthil","அகமதாபாத்தில்","அச்மெடப்பத்தில்"
"pyjmies","பியார்","பில்மிஸ்"
"seithamaiyaal","செய்தமையால்","செய்தமையால்"
"vicarikka","வழக்கு","விசரிக்க"
"ameriqa","அமெரிக்கா","அமெரிகா"
"arivulla","அறிவுள்ள","அறிவுள்ள"
"cakkarattai","சக்கரத்தை","கக்கரட்டை"
"maaligaiyilirundhu","மாளிகையிலிருந்து","மாலிகையிலிருந்து"
"vangkadhaesam","வங்கதேசம்","வங்கதேசம்"
"pankuthararkal","பங்குதாரர்கள்","பங்குதரர்கள்"
"naattavargazh","நாட்டவர்கள்","நாட்டவர்கள்"
"bogie","போகி","போக்கி"
"vinjchiya","விஞ்சிய","வின்சிய"
"appadiyaanaal","அப்படியானால்","அப்படியானால்"
"nadhiyaana","நதியான","நதியான"
"thoarruviththaar","தோற்றுவித்தார்","தோற்றுவித்தார்"
"piraroodu","பிறரோடு","பிரரோடு"
"kaidhiyaaka","கைதியாக","கைதியாக"
"surenderr","சரணடைய","சரண்டர்"
"muthaliyana","முதலியன","முதலியன"
"apinaya","அபிநய","அபினாய"
"nanmaiyae","நன்மையே","நன்மையே"
"mahaiana","மகாயான","மாகானா"
"adankiya","அடங்கிய","அடங்கிய"
"poagi","போகி","போகி"
"kanetham","கணிதம்","கணிதம்"
"gita","கீதை","கிட"
"kabulil","காபூலில்","கபுலில்"
"illaiyena","இல்லையென","இல்லையன"
"koophee","கோபி","கோபி"
"aayeena","ஆயின","ஆயீன"
"unarvaaga","உணர்வாக","உணர்வாக"
"coly","கோலி","கோலி"
"tholvikku","தோல்விக்கு","தொல்விக்கு"
"kathalukku","காதலுக்கு","கதலுக்கு"
"paguppaaivu","பகுப்பாய்வு","பகுப்பாயு"
"thoalvikku","தோல்விக்கு","தோல்விக்கு"
"roadu","ரோடு","ரோடு"
"deviyar","தேவியர்","தேவியர்"
"koovalanum","கோவலனும்","கோவலனும்"
"cooltt","கோல்ட்","கோல்ட்"
"maiyamaaga","மையமாக","மையமாக"
"miqey","மிக்கி","மிக்கி"
"lindaa","லிண்டா","லின்டா"
"paik","பேக்","பைக்"
"nilakkadalai","நிலக்கடலை","நிலக்கடலை"
"clive","கிளைவ்","கிலி"
"ketadhum","கேட்டதும்","கேடதும்"
"peruthal","பெறுதல்","பெருதல்"
"watar","வாட்டர்","வாடர்"
"neervalam","நீர்வளம்","நீர்வலம்"
"payirkalil","பயிர்களில்","பயிற்களில்"
"pirkaala","பிற்கால","பிர்கால"
